Zip Code,Heat Index,Tree Count,Borough,Average Property Value
11411,5,3229.0,Queens,422829.25
11412,5,4697.0,Queens,409229.4
11413,4,7470.0,Queens,483715.23
11414,2,4650.0,Queens,775509.97
11415,2,1743.0,Queens,858071.33
11416,4,1790.0,Queens,502237.81
11417,3,3666.0,Queens,503586.26
11418,3,3391.0,Queens,544988.19
11419,4,2805.0,Queens,473430.97
11420,4,5494.0,Queens,478867.5
11421,2,2855.0,Queens,576353.22
11422,4,6324.0,Queens,494797.52
11423,4,3591.0,Queens,606519.4
11426,3,5121.0,Queens,669058.27
11427,3,4377.0,Queens,609585.82
11428,4,2838.0,Queens,445221.05
11429,5,2912.0,Queens,413652.06
11432,3,6958.0,Queens,912880.46
11433,5,3745.0,Queens,511866.96
11434,5,8274.0,Queens,535670.94
11435,4,4595.0,Queens,618672.86
11436,5,2407.0,Queens,396211.89
11691,5,5718.0,Queens,555488.04
11692,5,2013.0,Queens,528954.0
11693,4,1169.0,Queens,401929.56
11694,4,3572.0,Queens,672969.34
11697,2,30.0,Queens,39528525.67
